Country Name,"Country Code","2019 [YR2019] - Net official development assistance received (current US$) [DT.ODA.ODAT.CD]","2019 [YR2019] - External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]","2019 [YR2019] - Short-term debt (% of total reserves) [DT.DOD.DSTC.IR.ZS]","2019 [YR2019] - Short-term debt (% of total external debt) [DT.DOD.DSTC.ZS]","2019 [YR2019] - Trade (% of GDP) [NE.TRD.GNFS.ZS]","2019 [YR2019] - Total reserves (includes gold, current US$) [FI.RES.TOTL.CD]","2019 [YR2019] - Current account balance (BoP, current US$) [BN.CAB.XOKA.CD]","2019 [YR2019] - Deposit interest rate (%) [FR.INR.DPST]","2019 [YR2019] - Lending interest rate (%) [FR.INR.LEND]","2019 [YR2019] - Wholesale price index (2010 = 100) [FP.WPI.TOTL]"
Tuvalu,"TUV","36479999.5422363","NA","NA","NA","NA","NA","-9134547.43258947","NA","NA","NA"
Uganda,"UGA","2100010009.76563","13970921695.9","NA","6.8111","39.5658874934212","NA","-2332588662.39041","NA","NA","NA"
Ukraine,"UKR","1148250000","123842830219.8","86.9983270279096","17.7849","90.4086491714719","25317002926.8886","-4124000000","12.8923166666667","19.8217083333333","NA"
United Arab Emirates,"ARE","NA","NA","NA","NA","160.936092884701","108359358451.761","NA","NA","NA","NA"
United Kingdom,"GBR","NA","NA","NA","NA","63.3973415842008","173569199262.767","-87544620168.3514","NA","NA","NA"
United States,"USA","NA","NA","NA","NA","26.3141551480558","516700583371.247","-480228000000","NA","5.2825","NA"
Uruguay,"URY","NA","NA","NA","NA","49.6070435797376","14504021740.9161","824078354.415808","5.06717854887154","11.5571850608681","NA"
Uzbekistan,"UZB","1156449951.17188","21745148303.8","4.13416710525595","5.5688","72.2518318921421","29291325502.0694","-3365637950.88538","16.1559811741028","23.6060674782463","NA"
Vanuatu,"VUT","130589996.337891","420581472","8.22369379001526","10.0023","91.4090312909874","511546284.1172","113319249.723493","0.25","2","NA"
"Venezuela, RB","VEN","284000000","168074437200.2","NA","30.4432","NA","NA","NA","NA","NA","NA"
Vietnam,"VNM","1094630004.88281","117344047557.4","31.1448035318218","20.7911","210.400245273256","78334835182.609","13101247000","4.975","7.7075","NA"
Virgin Islands (U.S.),"VIR","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
West Bank and Gaza,"PSE","2234330078.125","NA","NA","NA","68.9934922812035","658352116.3","-1833552933.09462","2.85211757115153","5.93196071275098","NA"
"Yemen, Rep.","YEM","4396520019.53125","7055218065.7","NA","6.0507","NA","NA","NA","NA","NA","NA"
Zambia,"ZMB","976280029.296875","27341427161.4","57.6698861845847","3.0555","68.7910427393667","1448624290.19898","140712285.049613","8.28583333333333","10.2916666666667","NA"
Zimbabwe,"ZWE","974890014.648438","12270178032.4","2331.88530065248","28.7424","NA","151240506.889991","NA","2.975","16.1816666666667","NA"
,"","","","","","","","","","",""
,"","","","","","","","","","",""
,"","","","","","","","","","",""
Data from database: World Development Indicators,"","","","","","","","","","",""
Last Updated: 09/15/2021,"","","","","","","","","","",""
